# This is for paper [ICME 2025] Variance-Reduction Guidance: Sampling Trajectory Optimization for Diffusion Models
# dataset: LSUN Bedroom
# pre-trained model: https://github.com/pesser/pytorch_diffusion?tab=readme-ov-file
# pre-trained model: https://heibox.uni-heidelberg.de/d/01207c3f6b8441779abf/?p=%2Fdiffusion_models_converted%2Fema_diffusion_cifar10_model&mode=list
# pre-trained model: ema-cifar10-model-790000.ckpt
#
# ts : timestep
# MSE: mean squared error between predicted noise and ground-truth noise
#      The MSE value below is the average of all dimensions.
#
# ts  	alpha_bar	MSE
 771	0.002427	0.00052403
 772	0.002389	0.00051378
 773	0.002352	0.00050926
 774	0.002316	0.00050169
 775	0.002280	0.00049533
 776	0.002245	0.00048663
 777	0.002210	0.00047940
 778	0.002175	0.00047284
 779	0.002141	0.00046668
 780	0.002108	0.00046233
 781	0.002075	0.00045460
 782	0.002042	0.00044901
 783	0.002010	0.00044235
 784	0.001979	0.00043561
 785	0.001948	0.00043029
 786	0.001917	0.00042380
 787	0.001887	0.00042007
 788	0.001857	0.00041280
 789	0.001828	0.00040535
 790	0.001799	0.00039911
 791	0.001770	0.00039766
 792	0.001742	0.00039204
 793	0.001715	0.00038388
 794	0.001687	0.00037808
 795	0.001661	0.00037258
 796	0.001634	0.00036838
 797	0.001608	0.00036355
 798	0.001582	0.00035717
 799	0.001557	0.00035312
 800	0.001532	0.00034687
 801	0.001508	0.00034324
 802	0.001483	0.00033766
 803	0.001459	0.00033176
 804	0.001436	0.00032770
 805	0.001413	0.00032173
 806	0.001390	0.00031810
 807	0.001368	0.00031226
 808	0.001345	0.00030976
 809	0.001324	0.00030465
 810	0.001302	0.00030027
 811	0.001281	0.00029666
 812	0.001260	0.00029081
 813	0.001240	0.00028762
 814	0.001220	0.00028127
 815	0.001200	0.00027928
 816	0.001180	0.00027486
 817	0.001161	0.00027011
 818	0.001142	0.00026676
 819	0.001123	0.00026341
 820	0.001105	0.00025898
 821	0.001086	0.00025484
 822	0.001069	0.00025062
 823	0.001051	0.00024687
 824	0.001034	0.00024350
 825	0.001017	0.00023963
 826	0.001000	0.00023659
 827	0.000983	0.00023219
 828	0.000967	0.00022882
 829	0.000951	0.00022522
 830	0.000935	0.00022261
 831	0.000919	0.00021848
 832	0.000904	0.00021541
 833	0.000889	0.00021237
 834	0.000874	0.00020986
 835	0.000860	0.00020584
 836	0.000845	0.00020256
 837	0.000831	0.00020007
 838	0.000817	0.00019700
 839	0.000803	0.00019409
 840	0.000790	0.00019045
 841	0.000777	0.00018720
 842	0.000764	0.00018487
 843	0.000751	0.00018117
 844	0.000738	0.00017882
 845	0.000726	0.00017671
 846	0.000713	0.00017354
 847	0.000701	0.00017107
 848	0.000689	0.00016802
 849	0.000678	0.00016582
 850	0.000666	0.00016345
 851	0.000655	0.00016037
 852	0.000643	0.00015803
 853	0.000633	0.00015553
 854	0.000622	0.00015352
 855	0.000611	0.00015124
 856	0.000601	0.00014797
 857	0.000590	0.00014642
 858	0.000580	0.00014427
 859	0.000570	0.00014181
 860	0.000560	0.00013981
 861	0.000551	0.00013718
 862	0.000541	0.00013472
 863	0.000532	0.00013304
 864	0.000523	0.00013081
 865	0.000514	0.00012858
 866	0.000505	0.00012692
 867	0.000496	0.00012485
 868	0.000487	0.00012254
 869	0.000479	0.00012145
 870	0.000471	0.00011878
 871	0.000462	0.00011672
 872	0.000454	0.00011520
 873	0.000446	0.00011341
 874	0.000439	0.00011157
 875	0.000431	0.00010998
 876	0.000423	0.00010790
 877	0.000416	0.00010620
 878	0.000409	0.00010450
 879	0.000401	0.00010341
